gen,evals,F_mean,CR_mean,p,pop_size,success_rate,niche
0,200,0.5,0.5103454890974204,0.11,100,0.57,0
1,297,0.5,0.5170508128544741,0.11,97,0.5257731958762887,0
2,393,0.5,0.5179210727069663,0.11,96,0.5104166666666666,0
3,487,0.5,0.5204718937512407,0.11,94,0.46808510638297873,0
4,580,0.5,0.5174890558965587,0.08800000000000001,93,0.3118279569892473,0
5,672,0.5,0.5169619502320277,0.0704,92,0.2717391304347826,0
6,762,0.5,0.5103331102140933,0.05632000000000001,90,0.2111111111111111,0
7,851,0.5,0.49840840216459614,0.05632000000000001,89,0.1797752808988764,0
8,939,0.5,0.5011007455124589,0.05632000000000001,88,0.26136363636363635,0
9,1025,0.5,0.4955948686698828,0.05632000000000001,86,0.23255813953488372,0
10,1110,0.5,0.48174884553901176,0.05632000000000001,85,0.2235294117647059,0
11,1194,0.5,0.47654262610868614,0.05632000000000001,84,0.11904761904761904,0
12,1277,0.5,0.4723731698973781,0.05632000000000001,83,0.2289156626506024,0
13,1359,0.5,0.46058705962454133,0.05632000000000001,82,0.1951219512195122,0
14,1439,0.5,0.4481844821412618,0.05632000000000001,80,0.2,0
15,1518,0.5,0.44030030991936353,0.05632000000000001,79,0.22784810126582278,0
16,1596,0.5,0.4180207962737515,0.05632000000000001,78,0.16666666666666666,0
17,1673,0.5,0.4170484479399829,0.05632000000000001,77,0.16883116883116883,0
18,1749,0.5,0.41506481283791097,0.05632000000000001,76,0.13157894736842105,0
19,1824,0.5,0.4128685524027899,0.05632000000000001,75,0.18666666666666668,0
20,1898,0.5,0.4138359963692137,0.05632000000000001,74,0.16216216216216217,0
21,1971,0.5,0.3978213198864366,0.05632000000000001,73,0.1643835616438356,0
22,2043,0.5,0.37902067501727543,0.05632000000000001,72,0.16666666666666666,0
23,2114,0.5,0.35319836361924495,0.05632000000000001,71,0.07042253521126761,0
24,2184,0.5,0.351524791808242,0.08448000000000001,70,0.08571428571428572,0
25,2253,0.5,0.35166760385903845,0.12672000000000003,69,0.11594202898550725,0
26,2321,0.5,0.35315771069540125,0.19008000000000003,68,0.14705882352941177,0
27,2388,0.5,0.35072248461648614,0.25,67,0.16417910447761194,0
28,2454,0.5,0.37427648582874334,0.25,66,0.10606060606060606,0
29,2519,0.5,0.3694792625189231,0.25,65,0.07692307692307693,0
30,2583,0.5,0.3913052782182351,0.25,64,0.0625,0
31,2646,0.5,0.37746273536999964,0.25,63,0.12698412698412698,0
32,2708,0.5,0.3604622318192883,0.25,62,0.08064516129032258,0
33,2769,0.5,0.275053904265453,0.25,61,0.06557377049180328,0
34,2829,0.5,0.2660916770235239,0.25,60,0.13333333333333333,0
35,2888,0.5,0.2702295578446962,0.25,59,0.03389830508474576,0
36,2946,0.5,0.29204826940465517,0.25,58,0.13793103448275862,0
