gen,evals,sigma,success_rate,c1,cmu,lambda,min_var,max_var,niche
0,10,0.45370588536945905,0.3,0.015283824524751714,0.02015428276120837,10,0.9525369876754103,1.0030462895404049,0
1,20,0.42627773900590354,1.0,0.016812206977226886,0.018138854485087532,10,0.9330964776335174,0.9848031244834141,0
2,30,0.42239247861361917,1.0,0.018493427674949575,0.01632496903657878,10,0.8969034055344153,0.9698966130651022,0
3,40,0.4396979158569013,1.0,0.020342770442444535,0.014692472132920902,10,0.8762046674107029,0.9572343212822155,0
4,50,0.48969332089284195,1.0,0.022377047486688992,0.013223224919628811,10,0.8631660745487567,0.9525919866178298,0
5,60,0.5219582881350965,1.0,0.024614752235357893,0.01190090242766593,10,0.8554350463187971,0.9447173023102644,0
6,70,0.5599915771302586,1.0,0.027076227458893685,0.010710812184899337,10,0.832258921937972,0.9256717115543017,0
7,80,0.5822701920677857,1.0,0.029783850204783056,0.01,10,0.8180849366279291,0.9203640026299864,0
8,90,0.6040173038091937,1.0,0.032762235225261366,0.01,10,0.7883759391430779,0.9067628745885205,0
9,100,0.6042990929095396,1.0,0.03603845874778751,0.01,10,0.7676388658727269,0.8852888189540337,0
10,110,0.6230630117074822,1.0,0.03964230462256626,0.01,10,0.7467880254232162,0.8809993439265258,0
11,120,0.6624375989542325,1.0,0.04360653508482289,0.01,10,0.7265791292715228,0.8810884397373919,0
12,130,0.6836648549399778,1.0,0.04796718859330518,0.01,10,0.7136236265469957,0.8623229838561594,0
13,140,0.7078366650350048,1.0,0.0527639074526357,0.01,10,0.6891707117647611,0.8503113343548508,0
14,150,0.7352376647104819,1.0,0.05804029819789927,0.01,10,0.6679655733084664,0.8223007044509303,0
15,160,0.7896230519461932,1.0,0.0638443280176892,0.01,10,0.6344592327557576,0.8067525356563556,0
16,170,0.861885906689685,1.0,0.07022876081945813,0.01,10,0.6239930278096507,0.7651073168067569,0
17,180,0.8339520621600864,1.0,0.07725163690140395,0.01,10,0.5925296482521777,0.7259561299595907,0
18,190,0.8543576535123392,1.0,0.08497680059154435,0.01,10,0.560907407581971,0.7128780688817652,0
19,200,0.834094272818894,1.0,0.09347448065069879,0.01,10,0.530977741148582,0.7125147147301601,0
20,210,0.8222213255949471,1.0,0.10282192871576867,0.01,10,0.5009805316069972,0.6705038928384137,0
21,220,0.8175991135452889,1.0,0.11310412158734555,0.01,10,0.47480636882409244,0.6416866424553032,0
22,230,0.7872627564301646,1.0,0.12441453374608011,0.01,10,0.45271946936880286,0.6619329060694338,0
23,240,0.8545863708435014,1.0,0.13685598712068814,0.01,10,0.4322991491348977,0.6233115995408965,0
24,250,0.9223521757082058,1.0,0.15054158583275695,0.01,10,0.4096837311245687,0.5773055927736985,0
25,260,1.0039297577170763,1.0,0.16559574441603267,0.01,10,0.40978952721670503,0.5198092669508213,0
26,270,1.0158349973935108,1.0,0.18215531885763594,0.01,10,0.3722100516854243,0.47811098071753577,0
27,280,1.03119615409624,1.0,0.20037085074339955,0.01,10,0.33290894726658565,0.4684720986922447,0
28,290,1.04005423544032,1.0,0.22040793581773951,0.01,10,0.3069574921149362,0.5032080881949127,0
29,300,0.9843699046659177,1.0,0.24244872939951348,0.01,10,0.2681185156988205,0.4342634577181349,0
30,310,0.9546812105328794,1.0,0.2666936023394649,0.01,10,0.23950488009029472,0.4044485086645578,0
31,320,0.8797776006167091,1.0,0.2933629625734114,0.01,10,0.17964828262965854,0.3859225349212766,0
32,330,0.7816350920312902,1.0,0.32269925883075257,0.01,10,0.15990864833399387,0.3916649167688725,0
33,340,0.7838148446129432,1.0,0.3549691847138279,0.01,10,0.13701180976208294,0.39590092010820105,0
34,350,0.7569426431886523,1.0,0.3904661031852107,0.01,10,0.13146290578600384,0.36169128588576527,0
35,360,0.6830348285999376,1.0,0.42951271350373177,0.01,10,0.07683169672185117,0.24000639917963223,0
36,370,0.6144235626582236,1.0,0.47246398485410496,0.01,10,0.06915190683036053,0.1931924448793938,0
37,380,0.6069435985511445,0.6,0.5197103833395155,0.01,10,0.06753695648931304,0.33942379450105614,0
38,390,0.5794484628416057,1.0,0.571681421673467,0.01,10,0.057191517437937406,0.2627221852594274,0
39,400,0.5997175957239278,1.0,0.6288495638408138,0.01,10,0.0409997384184138,0.19369195492113409,0
40,410,0.5635895060460284,1.0,0.6917345202248952,0.01,10,0.03816813222792658,0.1687028962635556,0
41,420,0.5340399104101481,1.0,0.7609079722473848,0.01,10,0.026723561345199556,0.12242825129334092,0
42,430,0.5273209517020837,1.0,0.8369987694721234,0.01,10,0.01570930295078227,0.09088932971853926,0
43,440,0.531261387538374,1.0,0.9,0.01,10,0.00922311945698617,0.05417446240117578,0
44,450,0.5210330720275594,0.9,0.9,0.01,10,0.007033141451907014,0.037773094077274846,0
45,460,0.5163641170898821,0.9,0.9,0.01,10,0.004061022057886568,0.04047193256640967,0
46,470,0.5210789953239332,0.4,0.9,0.01,10,0.0022630666502665812,0.023005367128651154,0
47,480,0.5134321733133571,0.3,0.9,0.01,10,0.0013542516535118166,0.037987011771049434,0
48,490,0.5038343276907856,0.5,0.9,0.01,10,0.0008493636260770306,0.02512613062008053,0
49,500,0.4636097576907357,0.2,0.9,0.01,10,0.0003490067628957366,0.029583891015556214,0
50,510,0.4285424508800941,0.7,0.9,0.01,10,0.00010677629194487634,0.04951937296569156,0
51,520,0.42274144395661195,0.2,0.9,0.01,10,0.00010951743616650122,0.0538105536527911,0
52,530,0.40982154488370665,0.1,0.81,0.011000000000000001,10,8.7483229364639e-05,0.05595280133218852,0
53,540,0.4193350585121613,0.4,0.81,0.011000000000000001,10,7.70420826581994e-05,0.03942059935517077,0
54,550,0.4170132627777765,0.3,0.81,0.011000000000000001,10,5.620407243163791e-05,0.035453181648510405,0
55,560,0.3885050980955515,0.9,0.8910000000000001,0.01,10,3.333623317845459e-05,0.04213968682615513,0
56,569,0.35456092259076066,0.5555555555555556,0.016885386295586762,0.01209126742108587,9,3.238051864417041e-05,0.04289240960509366,0
57,578,0.34195613314081946,0.2222222222222222,0.016885386295586762,0.01209126742108587,9,3.2025698651748514e-05,0.04306438887697114,0
58,587,0.3454547617398515,0.4444444444444444,0.016885386295586762,0.01209126742108587,9,3.106941106317103e-05,0.042723235247423545,0
59,596,0.34294886897888127,0.5555555555555556,0.01857392492514544,0.010882140678977284,9,3.0518293979652824e-05,0.04275372802771844,0
60,605,0.35348147433437993,0.7777777777777778,0.020431317417659987,0.01,9,3.051825537194496e-05,0.042387498688844345,0
61,614,0.36623252629287206,0.4444444444444444,0.020431317417659987,0.01,9,3.056495370770189e-05,0.043577330726130105,0
62,623,0.39435027675312573,1.0,0.022474449159425987,0.01,9,3.005911277397836e-05,0.04261992804885554,0
63,632,0.4196152715845222,0.6666666666666666,0.024721894075368588,0.01,9,2.940482077953834e-05,0.04170739049485432,0
64,641,0.44065996117045836,0.3333333333333333,0.024721894075368588,0.01,9,2.8857624048828744e-05,0.04095849981540512,0
65,650,0.460299300751258,0.4444444444444444,0.024721894075368588,0.01,9,2.7868878014776405e-05,0.040377671087008286,0
66,659,0.49434584506439727,0.6666666666666666,0.02719408348290545,0.01,9,2.670363803008356e-05,0.039838529036579216,0
67,668,0.5343240575904858,0.8888888888888888,0.029913491831195998,0.01,9,2.5974456700523803e-05,0.039364325802857064,0
68,677,0.5397425140787683,0.1111111111111111,0.026922142648076398,0.011000000000000001,9,2.5632775439407135e-05,0.03847478235161503,0
69,686,0.5500786244377931,0.8888888888888888,0.02961435691288404,0.01,9,2.4930857700550726e-05,0.03763539061574065,0
70,695,0.5288116664249335,0.5555555555555556,0.03257579260417245,0.01,9,2.4328363587204575e-05,0.03754692476859616,0
71,704,0.5130634734257077,0.5555555555555556,0.035833371864589694,0.01,9,2.4073903633371686e-05,0.03635215463226284,0
72,713,0.5187201338803217,1.0,0.039416709051048666,0.01,9,2.330220162339243e-05,0.03615504240972106,0
73,722,0.564216852896063,0.0,0.0354750381459438,0.011000000000000001,9,2.3232033646733126e-05,0.03527234122059941,0
74,731,0.5699072407378205,0.5555555555555556,0.039022541960538185,0.01,9,2.2766417825963564e-05,0.034547622769739016,0
75,740,0.5924650163443129,1.0,0.042924796156592004,0.01,9,2.226984358563799e-05,0.035267042184852306,0
76,749,0.5958510903243432,0.3333333333333333,0.042924796156592004,0.01,9,2.2168953651811615e-05,0.03482316527233204,0
77,758,0.6253936220954469,0.2222222222222222,0.042924796156592004,0.01,9,2.15196503119788e-05,0.03405643797768917,0
78,767,0.5993588783023484,0.8888888888888888,0.04721727577225121,0.01,9,2.0867324714427234e-05,0.03390083971007894,0
79,776,0.5609899021841909,0.5555555555555556,0.051939003349476334,0.01,9,2.029393725702625e-05,0.032317555335179285,0
80,785,0.5532650129607691,0.8888888888888888,0.057132903684423975,0.01,9,1.9380395210041048e-05,0.031159872906286287,0
81,794,0.5693370350224787,0.4444444444444444,0.057132903684423975,0.01,9,1.9843399047205042e-05,0.03066193196464602,0
82,803,0.5821976941704644,0.4444444444444444,0.057132903684423975,0.01,9,1.937151859461173e-05,0.029608689141038674,0
83,812,0.6152011578325515,0.6666666666666666,0.06284619405286637,0.01,9,1.928474109074063e-05,0.028699541112952833,0
84,821,0.6334026904237405,1.0,0.06913081345815301,0.01,9,1.8878744653405793e-05,0.02827122090273853,0
85,830,0.6553829858396631,0.3333333333333333,0.06913081345815301,0.01,9,1.802751754115086e-05,0.027810678400767782,0
86,839,0.6542283651779874,0.7777777777777778,0.07604389480396832,0.01,9,1.7869043393886908e-05,0.02655216878944833,0
87,848,0.6730566574662922,0.8888888888888888,0.08364828428436516,0.01,9,1.6964908269884364e-05,0.02557618702917997,0
88,857,0.7151012437224864,0.1111111111111111,0.07528345585592865,0.011000000000000001,9,1.6286760438939163e-05,0.024462825389174322,0
89,866,0.7512528980161838,0.5555555555555556,0.08281180144152152,0.01,9,1.593596589319736e-05,0.02360115519418071,0
90,875,0.8316553628344646,0.7777777777777778,0.09109298158567368,0.01,9,1.526830964467255e-05,0.0228294975505455,0
91,884,0.9240790915425262,0.6666666666666666,0.10020227974424105,0.01,9,1.4850186199874468e-05,0.02151816255328231,0
92,893,0.9601448636368615,0.6666666666666666,0.11022250771866517,0.01,9,1.512778889598897e-05,0.02004554233504359,0
93,902,0.9359330909941348,0.6666666666666666,0.12124475849053169,0.01,9,1.5311471972820238e-05,0.018860173065257054,0
94,911,0.9513314443817897,0.1111111111111111,0.10912028264147852,0.011000000000000001,9,1.429222561755404e-05,0.017800444119818914,0
95,920,0.9416314729045533,0.0,0.09820825437733068,0.012100000000000001,9,1.4384768756345852e-05,0.01688246753304962,0
96,929,0.8929944877720002,0.7777777777777778,0.10802907981506375,0.010890000000000002,9,1.3323218994808738e-05,0.01609355576001669,0
97,938,0.9012812659889265,0.8888888888888888,0.11883198779657014,0.01,9,1.2694840692634686e-05,0.015487834158664865,0
98,947,0.8990835869645287,0.2222222222222222,0.11883198779657014,0.01,9,1.197933327235584e-05,0.014732604735698589,0
99,956,0.8729143677614998,0.4444444444444444,0.11883198779657014,0.01,9,1.114228075061458e-05,0.013794709821482252,0
100,965,0.8586678662561995,0.4444444444444444,0.11883198779657014,0.01,9,1.038475617323808e-05,0.013272233937375708,0
101,974,0.8329840696594148,0.3333333333333333,0.11883198779657014,0.01,9,1.0040163950826668e-05,0.012572902667034685,0
102,983,0.8107888290721162,0.1111111111111111,0.10694878901691313,0.011000000000000001,9,9.678657734452404e-06,0.011900986045519112,0
103,992,0.8301281716013147,0.8888888888888888,0.11764366791860445,0.01,9,9.031008304573826e-06,0.011405871267888208,0
104,1001,0.8203699078029336,0.2222222222222222,0.11764366791860445,0.01,9,8.726476128644673e-06,0.010610422850112542,0
105,1010,0.8989276788477423,0.1111111111111111,0.10587930112674401,0.011000000000000001,9,8.203617344118277e-06,0.010079896048566687,0
106,1019,0.9807389799924771,0.8888888888888888,0.11646723123941842,0.01,9,7.784393146619615e-06,0.00959471344056281,0
107,1028,0.9280858466803239,0.2222222222222222,0.11646723123941842,0.01,9,7.3174228450361295e-06,0.009301745105391461,0
108,1037,0.8591416549255357,0.2222222222222222,0.11646723123941842,0.01,9,7.060079307837042e-06,0.008282124486808115,0
109,1046,0.8400733997339919,0.1111111111111111,0.10482050811547658,0.011000000000000001,9,6.836670147494383e-06,0.007905713947372134,0
110,1055,0.7989452451686369,0.7777777777777778,0.11530255892702425,0.01,9,6.544696679783186e-06,0.007741615415094865,0
111,1064,0.8041742907871582,0.6666666666666666,0.1268328148197267,0.01,9,6.25953556247367e-06,0.007424718722370639,0
112,1073,0.7927367252100543,0.6666666666666666,0.13951609630169937,0.01,9,5.886561394296851e-06,0.007166152123740907,0
113,1082,0.7834914251427127,0.8888888888888888,0.1534677059318693,0.01,9,5.388935918690973e-06,0.006717334620093625,0
114,1091,0.7691619964725049,0.2222222222222222,0.1534677059318693,0.01,9,5.099107849071664e-06,0.006558158673956388,0
115,1100,0.7085047683793788,0.8888888888888888,0.16881447652505627,0.01,9,5.044454650243225e-06,0.00875547193907261,0
116,1109,0.6625865927007536,0.6666666666666666,0.18569592417756192,0.01,9,4.397401392676845e-06,0.012230357411920186,0
117,1118,0.6927265072085447,0.8888888888888888,0.20426551659531814,0.01,9,4.0915429169468456e-06,0.014325792779474175,0
118,1127,0.729329279225324,1.0,0.22469206825484997,0.01,9,3.759254838027509e-06,0.014105120773025497,0
119,1136,0.7172295451660192,0.8888888888888888,0.24716127508033497,0.01,9,3.2441671213378063e-06,0.013063977308578634,0
120,1145,0.719484502271919,0.6666666666666666,0.2718774025883685,0.01,9,3.139569520962435e-06,0.012046197319212226,0
121,1154,0.7577285950014805,0.8888888888888888,0.29906514284720537,0.01,9,2.75406853623958e-06,0.01167640136992794,0
122,1163,0.7837546617152336,0.5555555555555556,0.32897165713192594,0.01,9,2.5879832445831613e-06,0.010196560952935788,0
123,1172,0.7686961856004848,1.0,0.36186882284511857,0.01,9,2.2564879977432328e-06,0.008552166690369043,0
124,1181,0.7575253260890705,0.6666666666666666,0.39805570512963045,0.01,9,1.8111674000040478e-06,0.006832922376289027,0
125,1190,0.7573864262101648,0.6666666666666666,0.43786127564259353,0.01,9,1.408802400902095e-06,0.00545954993842912,0
126,1199,0.8403071655672898,1.0,0.4816474032068529,0.01,9,1.0595887069341455e-06,0.004184568166725666,0
127,1208,0.9843349855527354,0.5555555555555556,0.5298121435275382,0.01,9,8.03728971665918e-07,0.0034621767877457714,0
128,1217,1.1617988837008217,0.7777777777777778,0.5827933578802921,0.01,9,5.902561564365466e-07,0.0025390767592917388,0
129,1226,1.3784128225976389,1.0,0.6410726936683213,0.01,9,4.5293778690321897e-07,0.002229446763151682,0
130,1235,1.551065573605239,0.1111111111111111,0.5769654243014892,0.011000000000000001,9,3.247815609078683e-07,0.0020579881828627685,0
131,1244,1.703447044161856,0.8888888888888888,0.6346619667316382,0.01,9,2.2445437532244082e-07,0.0016284463266425786,0
132,1253,1.9111909540844088,0.3333333333333333,0.6346619667316382,0.01,9,1.5170520923108807e-07,0.0011465872082887833,0
133,1262,2.019275073363752,0.5555555555555556,0.6981281634048021,0.01,9,1.0478650074872355e-07,0.0007572593615124627,0
134,1271,2.1562291377734417,0.8888888888888888,0.7679409797452824,0.01,9,1.306877387666872e-07,0.0005394175970053435,0
135,1280,2.3581434405997257,1.0,0.8447350777198107,0.01,9,7.71450080947164e-08,0.00032130964481944636,0
136,1289,2.58800355292443,0.3333333333333333,0.8447350777198107,0.01,9,5.8140637482609196e-08,0.000198468794418243,0
137,1298,2.6900553854737703,0.8888888888888888,0.9,0.01,9,3.7997187668976586e-08,0.00013988893059072236,0
138,1307,2.671137220409116,0.4444444444444444,0.9,0.01,9,2.0884556700193495e-08,0.00010314383966237358,0
139,1316,2.72950913050792,0.8888888888888888,0.9,0.01,9,1.2746628451925413e-08,6.066949252934149e-05,0
140,1325,2.9949031048483286,0.7777777777777778,0.9,0.01,9,8.086972387684496e-09,4.2878878838496787e-05,0
141,1334,3.299104393201095,0.8888888888888888,0.9,0.01,9,4.684425736460223e-09,4.1646064935395e-05,0
142,1343,3.414030557242367,0.7777777777777778,0.9,0.01,9,2.999390204834823e-09,2.7473465139604865e-05,0
143,1352,3.502417660066931,0.4444444444444444,0.9,0.01,9,1.7467048974261987e-09,5.727654625025531e-05,0
144,1361,3.5300975159462604,1.0,0.9,0.01,9,1.1166670077769262e-09,4.820488669797321e-05,0
145,1370,3.667435429746984,0.8888888888888888,0.9,0.01,9,2.799641337225623e-09,2.7864236260506093e-05,0
146,1379,3.8479746830661967,0.7777777777777778,0.9,0.01,9,1.525407924982937e-09,3.480887225316211e-05,0
147,1388,3.947380610078965,1.0,0.9,0.01,9,8.52369731574192e-10,2.5319764111987923e-05,0
148,1397,4.177614182352985,0.7777777777777778,0.9,0.01,9,4.781911070428819e-10,2.8070926360680412e-05,0
149,1406,4.401421014130542,1.0,0.9,0.01,9,2.572295274863551e-10,2.3620223128060734e-05,0
150,1415,4.255009797467796,1.0,0.9,0.01,9,1.3631073249981006e-10,1.4383062177573595e-05,0
151,1424,3.8661590915683473,0.4444444444444444,0.9,0.01,9,1.0961253624377766e-11,6.235587544184935e-06,0
152,1433,3.733393573263769,0.6666666666666666,0.9,0.01,9,5.894053782566313e-12,1.1135076498303156e-05,0
153,1442,3.913900290461063,0.5555555555555556,0.9,0.01,9,3.218739728732583e-12,1.0915847812562423e-05,0
