algorithm,problem_id,run,generation,evaluation_start,evaluation_end,evaluations_this_generation,best_value,error,target_reached,operator_probabilities,operator_counts,metadata
bipop-cma-es,1,0,1,0,17,17,96972.2723518843,96972.2723518843,0,"{""cma_operator"":{""covariance"":0.5,""isotropic"":0.5},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":6,""cma_isotropic"":11}","{""population_reduction_progress"":0.0,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":51.6159876015004}"
bipop-cma-es,1,0,2,17,34,17,84537.8805200089,84537.8805200089,0,"{""cma_operator"":{""covariance"":0.5023066106429024,""isotropic"":0.4976933893570977},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":8,""cma_isotropic"":9}","{""population_reduction_progress"":3.4e-05,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":49.22382809657658}"
bipop-cma-es,1,0,3,34,51,17,80228.40048899245,80228.40048899245,0,"{""cma_operator"":{""covariance"":0.4998444563438893,""isotropic"":0.5001555436561107},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":11,""cma_isotropic"":6}","{""population_reduction_progress"":6.8e-05,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":47.32847825222941}"
bipop-cma-es,1,0,4,51,68,17,62262.01630863106,62262.01630863106,0,"{""cma_operator"":{""covariance"":0.5001035735294588,""isotropic"":0.49989642647054133},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":12,""cma_isotropic"":5}","{""population_reduction_progress"":0.000102,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":45.29342186525864}"
bipop-cma-es,1,0,5,68,85,17,48278.90471395626,48278.90471395626,0,"{""cma_operator"":{""covariance"":0.4945283245675681,""isotropic"":0.505471675432432},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":10,""cma_isotropic"":7}","{""population_reduction_progress"":0.000136,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":43.71264943914368}"
bipop-cma-es,1,0,6,85,102,17,48278.90471395626,48278.90471395626,0,"{""cma_operator"":{""covariance"":0.4966536482829259,""isotropic"":0.5033463517170741},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":14,""cma_isotropic"":3}","{""population_reduction_progress"":0.00017,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":42.738489708749015}"
bipop-cma-es,1,0,7,102,119,17,42827.08362635829,42827.08362635829,0,"{""cma_operator"":{""covariance"":0.4781416691618248,""isotropic"":0.5218583308381752},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":8,""cma_isotropic"":9}","{""population_reduction_progress"":0.000204,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":40.45734900027887}"
bipop-cma-es,1,0,8,119,136,17,32481.97853689274,32481.97853689274,0,"{""cma_operator"":{""covariance"":0.4836638684808026,""isotropic"":0.5163361315191974},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":6,""cma_isotropic"":11}","{""population_reduction_progress"":0.000238,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":38.69610017904271}"
bipop-cma-es,1,0,9,136,153,17,29847.944995670965,29847.944995670965,0,"{""cma_operator"":{""covariance"":0.48178987352360475,""isotropic"":0.5182101264763953},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":6,""cma_isotropic"":11}","{""population_reduction_progress"":0.000272,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":37.510576566200804}"
bipop-cma-es,1,0,10,153,170,17,28424.88727180808,28424.88727180808,0,"{""cma_operator"":{""covariance"":0.4831474485434735,""isotropic"":0.5168525514565266},""restart_regime"":{""large_population"":0.5,""small_population"":0.5}}","{""cma_covariance"":6,""cma_isotropic"":11}","{""population_reduction_progress"":0.000306,""population_size"":17,""population_size_min"":6,""population_size_start"":17,""restart_index"":0,""restart_regime"":1,""sigma"":35.302717131823044}"
